LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_2_LE07_024030_20020921,111106,2002-09-21,-99,241,298,460,155,43,36.5,2908,-99,l7,64,0,2002,556,Sep,264,"(1999,2002]",WI,9,Fall (so)
1_2_LE07_024030_20021007,111106,2002-10-07,-99,279,314,505,137,22,27,2847,-99,l7,64,0,2002,553,Oct,280,"(1999,2002]",WI,9,Fall (so)
1_2_LE07_024030_20021226,111106,2002-12-26,-99,462,376,514,216,47,53,2676,-99,l7,64,0,2002,511,Dec,360,"(1999,2002]",WI,7,NA
1_2_LE07_024030_20030111,111106,2003-01-11,-99,762,683,792.5,468,95,102,2628,-99,l7,64,0,2003,514,Jan,11,"(2002,2005]",WI,7,NA
1_2_LE07_024030_20030401,111106,2003-04-01,-99,446,382,524,270,205,133,2801,-99,l7,64,0,2003,525,Apr,91,"(2002,2005]",WI,7,Spring (am)
1_2_LE07_024030_20030503,111106,2003-05-03,-99,398,407,601,255,99,63,2853,-99,l7,64,0,2003,550,May,123,"(2002,2005]",WI,9,Spring (am)
1_2_LE07_024030_20030807,111106,2003-08-07,-99,384.5,414,659,263,60,33,2918,-99,l7,64,0,2003,552,Aug,219,"(2002,2005]",WI,9,Summer (jja)
1_2_LE07_024030_20030823,111106,2003-08-23,-99,454,442,655,444,86,59,2929,-99,l7,64,0,2003,547,Aug,235,"(2002,2005]",WI,8,Summer (jja)
1_2_LE07_024030_20030924,111106,2003-09-24,-99,322,345,520,232,65,49,2881,-99,l7,64,0,2003,552,Sep,267,"(2002,2005]",WI,9,Fall (so)
1_2_LE07_024030_20031010,111106,2003-10-10,-99,404,371,574,257,48,25,2870,-99,l7,64,0,2003,543,Oct,283,"(2002,2005]",WI,8,Fall (so)
1_2_LE07_024030_20031127,111106,2003-11-27,-99,668,468,621,311.5,160,84,2735,-99,l7,64,0,2003,490,Nov,331,"(2002,2005]",WI,5,NA
1_2_LE07_024030_20040521,111106,2004-05-21,-99,573,560,759,599,287,202,2867,-99,l7,64,0,2004,548,May,142,"(2002,2005]",WI,8,Spring (am)
1_2_LE07_024030_20040622,111106,2004-06-22,-99,378,444.5,599,320,184,152,2913,-99,l7,64,0,2004,557,Jun,174,"(2002,2005]",WI,9,Summer (jja)
1_2_LE07_024030_20040708,111106,2004-07-08,-99,401,458,606,351,183,155,2913,-99,l7,64,0,2004,557,Jul,190,"(2002,2005]",WI,9,Summer (jja)
1_2_LE07_024030_20040809,111106,2004-08-09,-99,319,395,634,228,52,42,2929,-99,l7,64,0,2004,555,Aug,222,"(2002,2005]",WI,9,Summer (jja)
1_2_LE07_024030_20040910,111106,2004-09-10,-99,345,376,603,217,62,46,2908,-99,l7,64,0,2004,552,Sep,254,"(2002,2005]",WI,9,Fall (so)
1_2_LE07_024030_20040926,111106,2004-09-26,-99,315,371,645,173,49,25,2918,-99,l7,64,0,2004,553,Sep,270,"(2002,2005]",WI,9,Fall (so)
