latitude,longitude,comments,rake,rake2
43.0521518,-89.43149192,No information,10,10
43.05278212,-89.4314861,No information,10,10
43.05341244,-89.43148027,No information,10,10
43.04868291,-89.43109421,No information,10,10
43.05372546,-89.4310476,No information,10,10
43.05403849,-89.43061493,No information,10,10
43.05435151,-89.43018225,No information,10,10
43.05466453,-89.42974957,No information,10,10
43.04835705,-89.42894853,No information,10,10
43.04959616,-89.42463955,No information,10,10
43.05901178,-89.41681487,No information,10,10
43.05900739,-89.41595528,No information,10,10
43.059003,-89.4150957,No information,10,10
43.05962892,-89.41423011,No information,10,10
43.0589942,-89.41337653,No information,10,10
43.05898979,-89.41251694,No information,10,10
43.05047389,-89.41130897,No information,10,10
43.05089116,-89.43150356,Nonnavigable (plants),3,8
43.05152148,-89.43149774,Nonnavigable (plants),3,8
43.04994355,-89.43108256,Nonnavigable (plants),3,8
43.05183451,-89.43106508,Nonnavigable (plants),3,8
43.05246483,-89.43105926,Nonnavigable (plants),3,8
43.04899593,-89.43066158,Nonnavigable (plants),3,8
43.04962625,-89.43065575,Nonnavigable (plants),3,8
43.05277785,-89.43062659,Nonnavigable (plants),3,8
43.04930895,-89.43022894,Nonnavigable (plants),3,8
43.04899165,-89.42980213,Nonnavigable (plants),3,8
43.04898737,-89.42894268,Nonnavigable (plants),3,8
43.05434293,-89.42846321,Nonnavigable (plants),3,8
43.05465595,-89.42803052,Nonnavigable (plants),3,8
43.04897878,-89.42722378,Nonnavigable (plants),3,8
43.04960048,-89.42549901,Nonnavigable (plants),3,8
43.0498831,-89.41905012,Nonnavigable (plants),3,8
43.05807286,-89.41811319,Nonnavigable (plants),3,8
43.05838584,-89.41768042,Nonnavigable (plants),3,8
43.05901615,-89.41767446,Nonnavigable (plants),3,8
43.05806849,-89.41725362,Nonnavigable (plants),3,8
43.05047831,-89.41216843,Nonnavigable (plants),3,8
43.05079126,-89.41173569,Nonnavigable (plants),3,8
43.05110421,-89.41130294,Nonnavigable (plants),3,8
43.05078684,-89.41087622,Nonnavigable (plants),3,8
43.05141715,-89.41087018,Nonnavigable (plants),3,8
43.05801995,-89.40779833,Nonnavigable (plants),3,8
43.05769811,-89.40651201,Other,10,10
43.05308659,-89.42933442,sampled,1,1
43.0499307,-89.42850418,sampled,1,1
43.05024371,-89.42807152,sampled,1,1
43.05276499,-89.42804809,sampled,1,1
43.0499264,-89.42764472,sampled,1,1
43.05464734,-89.42631146,sampled,1,1
43.05117843,-89.42591404,sampled,1,1
43.05149144,-89.42548136,sampled,1,1
43.05338239,-89.42546371,sampled,1,1
43.05463871,-89.42459241,sampled,1,1
43.05432139,-89.4241656,sampled,1,1
43.0552647,-89.42372698,sampled,1,1
43.05053515,-89.42334151,sampled,1,1
43.05431706,-89.42330608,sampled,1,1
43.05463006,-89.42287336,sampled,1,1
43.05053082,-89.42248204,sampled,1,1
43.05494305,-89.42244064,sampled,1,1
43.05557336,-89.42243472,sampled,1,1
43.05336508,-89.42202567,sampled,1,1
43.05178711,-89.42161073,sampled,1,1
43.05430839,-89.42158703,sampled,1,1
43.05020914,-89.4211958,sampled,1,1
43.05146978,-89.42118395,sampled,1,1
43.05178277,-89.42075124,sampled,1,1
43.05430404,-89.42072751,sampled,1,1
43.05556468,-89.42071565,sampled,1,1
43.05146543,-89.42032447,sampled,1,1
43.0539867,-89.42030072,sampled,1,1
43.05524734,-89.42028884,sampled,1,1
43.05429969,-89.41986799,sampled,1,1
43.05556032,-89.41985611,sampled,1,1
43.05335203,-89.41944715,sampled,1,1
43.05524298,-89.41942931,sampled,1,1
43.05429533,-89.41900847,sampled,1,1
43.05492564,-89.41900252,sampled,1,1
43.05271735,-89.4185936,sampled,1,1
